Entity,Code,Year,GDP (constant 2015 US$)
Afghanistan,AFG,2020,20621946880
Albania,ALB,2020,12457862144
Algeria,DZA,2020,168144142336
American Samoa,ASM,2020,653477888
Andorra,AND,2020,2649303808
Angola,AGO,2020,104128684032
Antigua and Barbuda,ATG,2020,1301036672
Argentina,ARG,2020,514772402176
Armenia,ARM,2020,11915300864
Australia,AUS,2020,1490967855104
Austria,AUT,2020,386514223104
Azerbaijan,AZE,2020,51307184128
Bahamas,BHS,2020,10700067840
Bahrain,BHR,2020,33206179840
Bangladesh,BGD,2020,270695546880
Barbados,BRB,2020,3906818560
Belarus,BLR,2020,58482352128
Belgium,BEL,2020,466836652032
Belize,BLZ,2020,1577955712
Benin,BEN,2020,14725558272
Bermuda,BMU,2020,6416620032
Bhutan,BTN,2020,2221963776
Bolivia,BOL,2020,34820960256
Bosnia and Herzegovina,BIH,2020,17825165312
Botswana,BWA,2020,14813376512
Brazil,BRA,2020,1749104721920
Brunei,BRN,2020,13429361664
Bulgaria,BGR,2020,54923718656
Burkina Faso,BFA,2020,15291208704
Burundi,BDI,2020,3218732800
Cambodia,KHM,2020,23012192256
Cameroon,CMR,2020,37686546432
Canada,CAN,2020,1607402389504
Cape Verde,CPV,2020,1632003328
Cayman Islands,CYM,2020,5060362240
Central African Republic,CAF,2020,2001437824
Chad,TCD,2020,10426343424
Chile,CHL,2020,247639113728
China,CHN,2020,14631844184064
Colombia,COL,2020,299826446336
Comoros,COM,2020,1091379968
Congo,COG,2020,8877391872
Costa Rica,CRI,2020,61668978688
Cote d'Ivoire,CIV,2020,61033877504
Croatia,HRV,2020,52557893632
Cuba,CUB,2020,81054474240
Curacao,CUW,2020,2364843008
Cyprus,CYP,2020,23579791360
Czechia,CZE,2020,203094949888
Democratic Republic of Congo,COD,2020,45259706368
Denmark,DNK,2020,327737540608
Djibouti,DJI,2020,3207792384
Dominica,DMA,2020,473932832
Dominican Republic,DOM,2020,83287064576
East Asia and Pacific,,2020,26267552317440
Ecuador,ECU,2020,93820100608
Egypt,EGY,2020,412246048768
El Salvador,SLV,2020,23560826880
Equatorial Guinea,GNQ,2020,9509201920
Estonia,EST,2020,26279915520
Eswatini,SWZ,2020,4319633920
Ethiopia,ETH,2020,95069175808
Europe and Central Asia,,2020,21122173108224
European Union,,2020,13890496757760
Fiji,FJI,2020,4402511360
Finland,FIN,2020,247606657024
France,FRA,2020,2411255037952
Gabon,GAB,2020,15176119296
Gambia,GMB,2020,1672833024
Georgia,GEO,2020,16557390848
Germany,DEU,2020,3435817336832
Ghana,GHA,2020,62724595712
Greece,GRC,2020,185374539776
Grenada,GRD,2020,979357760
Guam,GUM,2020,5259729920
Guatemala,GTM,2020,69560942592
Guinea,GIN,2020,12922776576
Guinea-Bissau,GNB,2020,1218759808
Guyana,GUY,2020,7275908096
Haiti,HTI,2020,14956794880
High income,,2020,49843141607424
Honduras,HND,2020,22022361088
Hong Kong,HKG,2020,311574462464
Hungary,HUN,2020,140096897024
Iceland,ISL,2020,19491448832
India,IND,2020,2500132077568
Indonesia,IDN,2020,1027602841600
Iran,IRN,2020,410188054528
Iraq,IRQ,2020,170857725952
Ireland,IRL,2020,392534851584
Israel,ISR,2020,345459851264
Italy,ITA,2020,1745433788416
Jamaica,JAM,2020,13440715776
Japan,JPN,2020,4380756541440
Jordan,JOR,2020,41108074496
Kazakhstan,KAZ,2020,205829292032
Kenya,KEN,2020,83859111936
Kiribati,KIR,2020,191947344
Kosovo,OWID_KOS,2020,7144367616
Kuwait,KWT,2020,104326529024
Kyrgyzstan,KGZ,2020,7238139392
Laos,LAO,2020,18584864768
Latin America and Caribbean,,2020,5220250157056
Latvia,LVA,2020,29616465920
Lebanon,LBN,2020,36736831488
Lesotho,LSO,2020,2105770368
Liberia,LBR,2020,3115542528
Libya,LBY,2020,27805589504
Lithuania,LTU,2020,48110632960
Low and middle income,,2020,31704873959424
Low income,,2020,479579078656
Lower middle income,,2020,7530226909184
Luxembourg,LUX,2020,66117877760
Macao,MAC,2020,23488188416
Madagascar,MDG,2020,12244773888
Malawi,MWI,2020,7537262592
Malaysia,MYS,2020,344099356672
Maldives,MDV,2020,3600460032
Mali,MLI,2020,15830714368
Malta,MLT,2020,12886269952
Marshall Islands,MHL,2020,207699808
Mauritania,MRT,2020,7206774272
Mauritius,MUS,2020,11465334784
Mexico,MEX,2020,1148749217792
Micronesia (country),FSM,2020,326589248
Middle East and North Africa,,2020,3243739447296
Middle income,,2020,31226517782528
Moldova,MDA,2020,8517409792
Monaco,MCO,2020,6248493056
Mongolia,MNG,2020,13528524800
Montenegro,MNE,2020,4046328320
Morocco,MAR,2020,105726173184
Mozambique,MOZ,2020,17959221248
Myanmar,MMR,2020,86343024640
Namibia,NAM,2020,10285278208
Nauru,NRU,2020,90650120
Nepal,NPL,2020,29966137344
Netherlands,NLD,2020,808332361728
New Zealand,NZL,2020,204482363392
Nicaragua,NIC,2020,12734737408
Niger,NER,2020,12649313280
Nigeria,NGA,2020,493917962240
North America,,2020,20908301352960
North Macedonia,MKD,2020,10602899456
Norway,NOR,2020,403552927744
Oman,OMN,2020,80394698752
Pakistan,PAK,2020,319589679104
Palau,PLW,2020,239735280
Palestine,PSE,2020,14015399936
Panama,PAN,2020,52520697856
Papua New Guinea,PNG,2020,23854663680
Paraguay,PRY,2020,40446808064
Peru,PER,2020,190979129344
Philippines,PHL,2020,358294061056
Poland,POL,2020,555630460928
Portugal,PRT,2020,203589533696
Puerto Rico,PRI,2020,92660080640
Qatar,QAT,2020,161416822784
Romania,ROU,2020,208838852608
Russia,RUS,2020,1416124432384
Rwanda,RWA,2020,10807188480
Saint Kitts and Nevis,KNA,2020,973116736
Saint Lucia,LCA,2020,1588638592
Saint Vincent and the Grenadines,VCT,2020,772496640
Samoa,WSM,2020,864486016
Sao Tome and Principe,STP,2020,370868352
Saudi Arabia,SAU,2020,650714611712
Senegal,SEN,2020,22852755456
Serbia,SRB,2020,45184790528
Seychelles,SYC,2020,1386262400
Sierra Leone,SLE,2020,4976754176
Singapore,SGP,2020,330099785728
Slovakia,SVK,2020,94769119232
Slovenia,SVN,2020,48144052224
Solomon Islands,SLB,2020,1467403264
Somalia,SOM,2020,7069120000
South Africa,ZAF,2020,335640166400
South Asia,,2020,3235660169216
South Korea,KOR,2020,1623895048192
Spain,ESP,2020,1181205135360
Sri Lanka,LKA,2020,88832163840
Sub-Saharan Africa,,2020,1797727715328
Sudan,SDN,2020,49449889792
Suriname,SUR,2020,4417127424
Sweden,SWE,2020,533611839488
Switzerland,CHE,2020,740026220544
Tajikistan,TJK,2020,11436204032
Tanzania,TZA,2020,61522710528
Thailand,THA,2020,432649175040
Timor,TLS,2020,2093497600
Togo,TGO,2020,5187639296
Tonga,TON,2020,489364576
Trinidad and Tobago,TTO,2020,20813758464
Tunisia,TUN,2020,44681502720
Turkey,TUR,2020,1015326638080
Turks and Caicos Islands,TCA,2020,802388544
Tuvalu,TUV,2020,44708880
Uganda,UGA,2020,40768765952
Ukraine,UKR,2020,97866342400
United Arab Emirates,ARE,2020,370866192384
United Kingdom,GBR,2020,2891615567872
United States,USA,2020,19294482071552
Upper middle income,,2020,23696597057536
Uruguay,URY,2020,52260970496
Uzbekistan,UZB,2020,107981856768
Vanuatu,VUT,2020,810535808
Vietnam,VNM,2020,258508668928
World,OWID_WRL,2020,81830090899456
Zambia,ZMB,2020,23418945536
Zimbabwe,ZWE,2020,19426048000